id_aluno,fase,genero,ano_ingresso,inst_ensino,iaa,ieg,ips,ida,atingiu_pv,ipv,ian,ano,ipp,idade,pedra,matematica,portugues,ingles,defasagem,inde,tipo_estudante,tipo_instituicao,nivel_ensino,evadido,piorou_defasagem,nivel_defasagem,permanencia,jornada,jornada_22_23,jornada_23_24,jornada_inde,jornada_inde_22_23,jornada_inde_23_24,jornada_pedra,jornada_pedra_22_23,jornada_pedra_23_24
RA-1018,1,masculino,2023,publico,0.0,8.5,5.02,6.3,nao,8.06,10.0,2023,7.5,0,agata,5.8,6.8,6.480000000000001,0.0,6.824,ingressante,escolar,fundamental1,False,True,em fase,0,,,recuo,,,avanco,,,recuo
RA-1018,1,masculino,2023,publico,8.502,7.727272727,6.26,8.25,nao,8.45,5.0,2024,8.4375,10,ametista,8.5,8.0,9.0,-1.0,7.7054045454,veterano,escolar,fundamental1,True,False,moderada,1,recuo,,recuo,avanco,,avanco,recuo,,recuo
RA-1019,1,feminino,2023,publico,7.5,9.1,5.02,4.3,nao,7.836666667,10.0,2023,6.875,8,ametista,0.5,8.0,6.0,1.0,7.177033333,ingressante,escolar,fundamental1,False,True,em fase,0,,,recuo,,,avanco,,,avanco
RA-1019,1,feminino,2023,publico,9.502,9.3073593075,6.26,8.75,nao,8.616666667,10.0,2024,7.8125,9,topazio,9.5,8.0,9.1,0.0,8.692255194900001,veterano,escolar,fundamental1,True,False,em fase,1,recuo,,recuo,avanco,,avanco,avanco,,avanco
RA-102,4,masculino,2019,publico,6.7,7.7,6.9,5.7,nao,6.0,10.0,2022,7.541666666599999,14,agata,4.7,6.8,5.5,0.0,6.922,veterano,escolar,fundamental2,True,False,em fase,3,,,,,,,,,
RA-1020,1,feminino,2023,publico,10.0,9.1,2.52,6.1,nao,8.056666667,10.0,2023,7.1875,9,ametista,4.3,7.8,5.279999999999999,0.0,7.612283333,ingressante,escolar,fundamental1,False,False,em fase,0,,,neutro,,,avanco,,,avanco
RA-1020,1,feminino,2023,publico,9.002,9.7727272725,6.88,9.0,nao,8.84,10.0,2024,8.4375,10,topazio,10.0,8.0,9.76,0.0,8.9544954545,veterano,escolar,fundamental1,True,False,em fase,1,neutro,,neutro,avanco,,avanco,avanco,,avanco
RA-1021,1,masculino,2023,publico,8.0,9.2,3.77,3.3,nao,7.893333333,10.0,2023,7.1875,0,agata,2.5,4.0,2.66,0.0,6.964616667,ingressante,escolar,fundamental1,False,True,em fase,0,,,recuo,,,avanco,,,avanco
RA-1021,1,masculino,2023,publico,9.502,9.318181818,7.51,8.0,nao,7.95,5.0,2024,8.4375,10,topazio,9.0,7.0,8.02,-1.0,8.0985863636,veterano,escolar,fundamental1,True,False,moderada,1,recuo,,recuo,avanco,,avanco,avanco,,avanco
RA-1022,1,masculino,2023,publico,8.5,8.5,3.77,4.7,nao,7.893333333,10.0,2023,7.1875,9,ametista,4.7,4.7,4.9,0.0,7.164616667,ingressante,escolar,fundamental1,False,True,em fase,0,,,recuo,,,avanco,,,neutro
