id_aluno,fase,genero,ano_ingresso,inst_ensino,iaa,ieg,ips,ida,atingiu_pv,ipv,ian,ano,ipp,idade,pedra,matematica,portugues,defasagem,inde,tipo_estudante,tipo_instituicao,nivel_ensino,evadido,piorou_defasagem,nivel_defasagem,permanencia
RA-1031,1,masculino,2023,publico,8.0,8.8,7.52,5.9,nao,7.006666667,5.0,2023,6.666666667,10,ametista,4.8,7.0,-1.0,7.0602,ingressante,escolar,fundamental1,False,False,moderada,0
RA-1032,1,masculino,2023,publico,8.5,9.5,7.52,6.0,nao,7.563333333,5.0,2023,7.291666667,0,ametista,5.7,6.2,-1.0,7.434033333,ingressante,escolar,fundamental1,False,False,moderada,0
RA-1034,1,masculino,2023,publico,7.5,9.0,7.52,8.3,nao,8.393333333,5.0,2023,8.333333333,10,ametista,7.8,8.7,-1.0,7.9642,ingressante,escolar,fundamental1,False,False,moderada,0
RA-1035,1,masculino,2023,publico,0.0,8.3,7.52,5.8,nao,7.78,10.0,2023,7.708333333,9,agata,4.0,7.5,0.0,6.888833333,ingressante,escolar,fundamental1,False,True,em fase,0
RA-1036,1,feminino,2023,publico,0.0,9.6,3.77,8.0,nao,8.336666667,5.0,2023,9.0625,11,agata,9.0,7.0,-1.0,6.970583333,ingressante,escolar,fundamental1,False,False,moderada,0
RA-1038,1,feminino,2023,privado,8.0,9.3,7.52,6.5,nao,8.17,5.0,2023,8.90625,10,ametista,7.5,5.5,-1.0,7.736825,ingressante,escolar,fundamental1,False,False,moderada,0
RA-1039,1,masculino,2023,publico,8.0,9.9,7.52,6.2,nao,8.056666667,5.0,2023,8.125,0,ametista,6.0,6.3,-2.0,7.686033333,ingressante,escolar,fundamental1,False,False,moderada,0
RA-104,4,masculino,2022,publico,7.9,8.7,7.5,3.7,nao,6.708,2.5,2022,6.447916666599999,18,agata,4.8,5.8,-4.0,6.315,ingressante,escolar,fundamental2,False,False,severa,0
RA-1040,1,masculino,2023,publico,10.0,9.3,7.52,6.6,nao,8.06,5.0,2023,7.8125,0,ametista,5.8,7.3,-1.0,7.81545,ingressante,escolar,fundamental1,False,False,moderada,0
RA-1043,1,masculino,2023,publico,10.0,7.9,6.27,2.5,nao,7.833333333,5.0,2023,7.708333333,10,agata,2.0,3.0,-1.0,6.5447,ingressante,escolar,fundamental1,False,False,moderada,0
RA-1044,1,feminino,2023,publico,8.0,9.7,7.52,6.1,nao,8.336666667,5.0,2023,7.5,10,ametista,4.5,7.7,-1.0,7.629533333,ingressante,escolar,fundamental1,False,False,moderada,0
RA-1048,1,feminino,2023,privado,8.5,9.5,3.77,8.2,nao,8.5,5.0,2023,8.541666667,10,ametista,7.5,8.8,-1.0,7.811366667,ingressante,escolar,fundamental1,False,False,moderada,0
RA-1049,1,masculino,2023,publico,10.0,7.7,7.52,6.3,nao,7.943333333,5.0,2023,8.125,10,ametista,5.5,7.0,-1.0,7.443366667,ingressante,escolar,fundamental1,False,False,moderada,0
RA-1052,1,masculino,2023,publico,0.0,9.0,7.52,5.3,nao,7.833333333,10.0,2023,7.916666667,0,agata,5.0,5.5,0.0,6.960333333,ingressante,escolar,fundamental1,False,True,em fase,0
RA-1054,1,masculino,2023,publico,8.5,8.6,7.52,6.6,nao,7.836666667,5.0,2023,7.5,0,ametista,5.0,8.2,-2.0,7.459533333,ingressante,escolar,fundamental1,False,False,moderada,0
